"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","has_internship","has_multiple_internships"
"1459",1,"Finance","none",0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,"No Minor","No Minor","White","Male","3.50 - 4.00",201920,"2019","Cum Laude","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1460",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.00 - 2.49",202120,"2021","0","None","None","None","None","None",0,"None","None","None",0,"None",1,1
"1461",1,"Marketing","none",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Chicago","Cintas","None","None","None",3,"accepted fulltime job","Yes","Yes",55000,"IL",1,1
"1462",1,"Accountancy","none",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,"Arts Related","Arts Related","White","Female","3.50 - 4.00",201920,"2019","Magna Cum Laude","Cincinnati","Deloitte","Accounting","None","None",1,"accepted fulltime job","Yes","Yes",52000,"OH",1,1
"1463",1,"Management and Leadership","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",201920,"2019","0","Miami","Merchant One","Merchant Services","None","None",1,"accepted fulltime job","Yes","Yes",45000,"FL",1,0
"1464",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,"Language","Language","Black or African American","Female","3.50 - 4.00",202020,"2020","Magna Cum Laude","Chicago","RSM","Accounting","MAcc","None",4,"accepted fulltime job","Yes","Yes",62500,"IL",1,0
"1465",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Information Systems","Information Systems","Asian","Male","3.00 - 3.49",202020,"2020","0","None","PwC","None","MAcc","None",0,"accepted fulltime job","None","None",53500,"None",1,0
"1466",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Humanities","No Minor","White","Female","3.00 - 3.49",201920,"2019","0","Cincinnati","EXOR America","Marketing / Sales","None","None",2,"accepted fulltime job","Yes","Yes",45000,"OH",1,0
"1467",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","None","None","None","None","None",0,"seeking employment","None","None",0,"None",1,1
"1468",1,"Information Systems","none",0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,"No Minor","No Minor","White","Female","3.50 - 4.00",202020,"2020","Magna Cum Laude","Chicago","Deloitte Consulting","Analytics Consulting Information Technology","None","None",1,"accepted fulltime job","Yes","Yes",80000,"IL",1,1
"1469",2,"Accountancy","Finance",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202020,"2020","Magna Cum Laude","Columbus","Crowe LLP","Accounting","None","None",4,"accepted fulltime job","Yes","Yes",55000,"OH",1,0
"1470",2,"Accountancy","Finance",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",202030,"2020","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1471",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arts Related","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","None","None","None","None","None",0,"None","None","None",0,"None",1,0
"1472",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Humanities","No Minor","White","Male","3.50 - 4.00",202120,"2021","Cum Laude","Cincinnati","Sterling Homes","General Management Operations / Procurement Other: Project management","None","None",3,"accepted fulltime job","Yes","Yes",45000,"OH",1,1
"1473",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","2.50 - 2.99",202120,"2021","0","None","None","None","None","None",0,"None","None","None",0,"None",1,1
"1474",1,"Finance","none",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Denver","KPMG","Consulting","None","None",1,"accepted fulltime job","Yes","Yes",69000,"CO",0,0
"1475",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Language","No Minor","White","Male","3.50 - 4.00",201910,"2019","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1476",1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",202015,"2020","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1477",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arts Related","Mangement and Leadership","White","Female","3.00 - 3.49",202120,"2021","0","Chicago","MoLo Solutions","Operations / Procurement","None","None",1,"accepted fulltime job","No","Yes",44000,"IL",1,0
